JENIS_PERAWATAN,RUANG,KUNJUNGAN_JANUARI,BIAYA_JANUARI,KUNJUNGAN_FEBRUARI,BIAYA_FEBRUARI,KUNJUNGAN_MARET,BIAYA_MARET,KUNJUNGAN_APRIL,BIAYA_APRIL,KUNJUNGAN_MEI,BIAYA_MEI,KUNJUNGAN_JUNI,BIAYA_JUNI,KUNJUNGAN_JULI,BIAYA_JULI,KUNJUNGAN_AGUSTUS,BIAYA_AGUSTUS,KUNJUNGAN_SEPTEMBER,BIAYA_SEPTEMBER,KUNJUNGAN_OKTOBER,BIAYA_OKTOBER,KUNJUNGAN_NOPEMBER,BIAYA_NOPEMBER,KUNJUNGAN_DESEMBER,BIAYA_DESEMBER,KUNJUNGAN_TOTAL,BIAYA_TOTAL
RAWAT_JALAN,RAWAT_JALAN_RI-1,1116,231735088.5,896,228193388,707,199624186.6,520,137010044,829,246570681.4,706,180227364.3,865,251871054,976,276479477.7,948,380373001.3,951,282419498.5,820,250783469.8,0,0,9334,2665287254
RAWAT_JALAN,RAWAT_JALAN_RI-2,250,48597850.56,219,49065978.8,154,30296021.53,121,24946101.11,187,54540448.24,137,34150270.72,201,48828479.8,242,68051600.01,208,65047386.73,219,61757393.5,190,58934359.27,0,0,2128,544215890.3
RAWAT_JALAN,RAWAT_JALAN_RI-VIP,23,6242077,51,10901871,24,9351697,21,6021002,45,17657375,41,11752809,47,12898485,33,10067550.6,25,7707256,16,3791309,12,5429142,0,0,338,101820573.6
RAWAT_INAP,RAWAT_INAP_RI-1,24,207025986,28,291607770,15,161088444,9,38232157,19,179512079,16,123426772,17,169083037,19,116063831,16,96544616,13,138624587,22,191175547,0,0,198,1712384826
RAWAT_INAP,RAWAT_INAP_RI-2,2,12323162,9,75031584,4,27429531,3,18672297,7,43780595,5,43112770,6,25667292,5,101343931,2,6483632,4,9708190,2,3688872,0,0,49,367241856
RAWAT_INAP,RAWAT_INAP_RI-VIP,0,0,2,29699200,0,0,1,1082800,1,8869965,4,48787016,2,9035097,0,0,0,0,2,6117418,1,2691230,0,0,13,106282726
KASUS_KHUSUS,KASUS_KHUSUS_RI-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KASUS_KHUSUS,KASUS_KHUSUS_RI-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KASUS_KHUSUS,KASUS_KHUSUS_RI-VIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAWAT_GIGI,RAWAT_GIGI_RI-1,344,93831653,222,66627569,172,56661235,115,31647315.34,199,66654805,140,42639337,223,65261405,201,70430474,165,53618186,229,79560312.59,209,79545080.2,0,0,2219,706477372.1
RAWAT_GIGI,RAWAT_GIGI_RI-2,46,13035626,23,6959100,26,6022964,43,9801775.667,30,7580622,17,7992378,36,9215388,33,9208138,37,10997690.6,48,14677177.01,29,9287286.25,0,0,368,104778145.5
RAWAT_GIGI,RAWAT_GIGI_RI-VIP,10,3207150,8,2295100,9,3146980,6,1237600,4,1114200,8,4941000,12,5041500,2,476000,17,5704194,8,3031000,14,4121600,0,0,98,34316324
PERSALINAN,PERSALINAN_RI-1,63,66264728,37,63438701,50,165194267,26,50945716,40,73508312,29,82975514.2,48,148097489.8,47,96471045.1,0,0,58,160525396,46,46784313.6,0,0,444,954205482.7
PERSALINAN,PERSALINAN_RI-2,32,28091685,14,10857126,9,4389170,12,13888253,24,15610169,22,43978496.5,12,33864434,12,36018765.65,0,0,11,12698443.9,18,33190632.85,0,0,166,232587175.9
PERSALINAN,PERSALINAN_RI-VIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAT_REHABILITASI,ALAT_REHABILITASI_RI-1,45,65520000,7,8496000,8,6472000,8,8112000,33,48360000,1,1440000,34,44400000,38,55759000,22,33520000,29,47880000,17,26592000,0,0,242,346551000
ALAT_REHABILITASI,ALAT_REHABILITASI_RI-2,17,22752000,0,0,1,1440000,0,0,4,4680000,1,1700000,5,7940000,17,27660000,13,19720000,13,21960000,14,22552000,0,0,85,130404000
ALAT_REHABILITASI,ALAT_REHABILITASI_RI-VIP,1,1800000,1,1440000,0,0,0,0,0,0,0,0,2,2880000,1,1800000,0,0,1,640000,0,0,0,0,6,8560000
TAMBAHAN,TAMBAHAN_RI-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMBAHAN,TAMBAHAN_RI-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMBAHAN,TAMBAHAN_RI-VIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,1973,800427006.1,1517,844613387.8,1179,671116496.2,885,341597061.1,1422,768439251.7,1127,627123727.7,1510,834083661.6,1626,869829813.1,1453,679715962.7,1602,843390725.5,1394,734775533,0,0,15688,8015112626
