date;house_index
31/01/1990;100.763
28/02/1990;101.469
31/03/1990;102.241
30/04/1990;103.062
31/05/1990;103.903
30/06/1990;104.729
31/07/1990;105.276
31/08/1990;105.833
30/09/1990;10.639
31/10/1990;106.977
30/11/1990;107.594
31/12/1990;108.253
31/01/1991;109.708
28/02/1991;11.211
31/03/1991;111.632
30/04/1991;113.573
31/05/1991;113.109
30/06/1991;115.096
31/07/1991;114.814
31/08/1991;116.869
30/09/1991;117.021
31/10/1991;119.196
30/11/1991;120.282
31/12/1991;121.258
31/01/1992;12.117
29/02/1992;123.153
31/03/1992;122.535
30/04/1992;12.474
31/05/1992;126.626
30/06/1992;125.904
31/07/1992;12.815
31/08/1992;127.716
30/09/1992;130.019
31/10/1992;130.623
30/11/1992;131.335
31/12/1992;131.615
31/01/1993;133.885
28/02/1993;133.119
31/03/1993;133.431
30/04/1993;133.332
31/05/1993;132.409
30/06/1993;131.737
31/07/1993;131.637
31/08/1993;131.942
30/09/1993;132.078
31/10/1993;132.069
30/11/1993;13.212
31/12/1993;133.922
31/01/1994;135.583
28/02/1994;13.471
31/03/1994;136.301
30/04/1994;136.589
31/05/1994;135.421
30/06/1994;134.892
31/07/1994;134.098
31/08/1994;135.499
30/09/1994;134.584
31/10/1994;13.408
30/11/1994;133.869
31/12/1994;135.484
31/01/1995;13.457
28/02/1995;135.676
31/03/1995;134.615
30/04/1995;132.894
31/05/1995;131.688
30/06/1995;133.787
31/07/1995;133.436
31/08/1995;131.876
30/09/1995;134.322
31/10/1995;133.484
30/11/1995;131.978
31/12/1995;131.595
31/01/1996;131.624
29/02/1996;131.568
31/03/1996;131.585
30/04/1996;13.416
31/05/1996;13.332
30/06/1996;131.562
31/07/1996;132.197
31/08/1996;131.243
30/09/1996;129.944
31/10/1996;130.379
30/11/1996;130.924
31/12/1996;130.562
31/01/1997;130.981
28/02/1997;129.858
31/03/1997;130.382
30/04/1997;129.205
31/05/1997;130.805
30/06/1997;132.142
31/07/1997;131.139
31/08/1997;132.948
30/09/1997;132.356
31/10/1997;131.745
30/11/1997;13.383
31/12/1997;134.189
31/01/1998;135.385
28/02/1998;136.692
31/03/1998;135.655
30/04/1998;137.859
31/05/1998;14.031
30/06/1998;140.247
31/07/1998;139.542
31/08/1998;1.412
30/09/1998;141.195
31/10/1998;14.054
30/11/1998;141.486
31/12/1998;144.492
31/01/1999;144.999
28/02/1999;145.438
31/03/1999;143.991
30/04/1999;14.673
31/05/1999;148.624
30/06/1999;148.383
31/07/1999;15.069
31/08/1999;149.968
30/09/1999;151.309
31/10/1999;154.187
30/11/1999;15.849
31/12/1999;159.457
31/01/2000;160.355
29/02/2000;161.354
31/03/2000;164.323
30/04/2000;165.121
31/05/2000;164.218
30/06/2000;16.741
31/07/2000;166.368
31/08/2000;166.275
30/09/2000;166.178
31/10/2000;168.995
30/11/2000;172.445
31/12/2000;173.591
31/01/2001;174.804
28/02/2001;176.317
31/03/2001;178.621
30/04/2001;182.544
31/05/2001;185.739
30/06/2001;185.561
31/07/2001;189.275
31/08/2001;193.465
30/09/2001;197.223
31/10/2001;201.317
30/11/2001;205.652
31/12/2001;208.356
31/01/2002;210.851
28/02/2002;214.693
31/03/2002;219.131
30/04/2002;220.182
31/05/2002;224.859
30/06/2002;226.701
31/07/2002;228.976
31/08/2002;23.072
30/09/2002;235.881
31/10/2002;242.749
30/11/2002;242.046
31/12/2002;246.849
31/01/2003;251.467
28/02/2003;251.843
31/03/2003;255.138
30/04/2003;261.494
31/05/2003;26.728
30/06/2003;275.337
31/07/2003;281.002
31/08/2003;286.541
30/09/2003;29.483
31/10/2003;303.882
30/11/2003;3.082
31/12/2003;309.679
31/01/2004;310.366
29/02/2004;30.922
31/03/2004;309.718
30/04/2004;306.417
31/05/2004;312.054
30/06/2004;314.569
31/07/2004;313.644
31/08/2004;313.618
30/09/2004;310.621
31/10/2004;308.499
30/11/2004;311.772
31/12/2004;313.615
31/01/2005;312.091
28/02/2005;313.647
31/03/2005;311.781
30/04/2005;314.771
31/05/2005;317.334
30/06/2005;319.602
31/07/2005;317.597
31/08/2005;319.091
30/09/2005;316.165
31/10/2005;322.245
30/11/2005;320.388
31/12/2005;322.816
31/01/2006;330.039
28/02/2006;327.766
31/03/2006;332.423
30/04/2006;329.989
31/05/2006;335.767
30/06/2006;34.348
31/07/2006;349.578
31/08/2006;347.076
30/09/2006;348.212
31/10/2006;355.561
30/11/2006;353.086
31/12/2006;355.432
31/01/2007;360.398
28/02/2007;3.625
31/03/2007;359.673
30/04/2007;366.754
31/05/2007;374.645
30/06/2007;379.861
31/07/2007;380.392
31/08/2007;379.889
30/09/2007;384.918
31/10/2007;393.626
30/11/2007;398.429
31/12/2007;403.834
31/01/2008;412.015
29/02/2008;412.449
31/03/2008;408.825
30/04/2008;416.323
31/05/2008;421.302
30/06/2008;41.746
31/07/2008;415.641
31/08/2008;412.325
30/09/2008;414.192
31/10/2008;406.857
30/11/2008;401.915
31/12/2008;407.248
31/01/2009;408.291
28/02/2009;408.816
31/03/2009;407.847
30/04/2009;409.527
31/05/2009;417.259
30/06/2009;423.152
31/07/2009;425.623
31/08/2009;43.093
30/09/2009;432.335
31/10/2009;426.328
30/11/2009;434.345
31/12/2009;440.423
31/01/2010;441.208
28/02/2010;447.451
31/03/2010;45.253
30/04/2010;457.416
31/05/2010;461.032
30/06/2010;466.575
31/07/2010;475.411
31/08/2010;476.206
30/09/2010;479.978
31/10/2010;476.555
30/11/2010;483.132
31/12/2010;479.748
31/01/2011;473.814
