GDP;life_expectacy
462517913;74.2
3938843518;66.6
163481431;65.9
5184494227;78.1
612623418;78.9
2878837144;48.2
16184928;79.7
193755696;79.6
5956368319;55
1644816372;73.7
4579397614;73.7
36313685;75.9
232758324;65.7
11171186;53.6
1136829645;55
113856661;72.5
36868998;67.5
956668952;61.1
2932315883;72.5
6574654338;72.9
499198289;81.3
185593915;67.5
464731359;72.9
322227274;48.5
41451;64.5
1133128;61.2
5458121718;73.8
243326822;58.5
5332437937;89
4735484827;69.8
5248959363;65.8
7322596862;71.9
5124131562;82
6771414797;65.3
3778482928;61.9
418292176;75.4
397148467;46.8
8512865759;85
76535419;57.1
213733292;57.9
31388873;73.5
719361764;74.8
1576183913;55
3588274716;45.3
3279414;89
2882732636;79.4
29255962;55.2
26371428;64.1
41658397;89
4221461573;52.1
44853339;59.6
1741142552;66.5
276286354;73
5932899677;72.6
152687746;78.9
418148191;79.8
3969982166;46.6
67561258;76.7
3769878573;81.3
7969746;75.4
1425229452;75
322543121;72.2
614271115;74.4
8214185378;72.9
35971886;74.7
631675789;65
5235956;66.1
6688667;76.4
465866525;81
146931125;67.6
3138663265;78.9
258637;84
249212878;74.4
325973471;81
34748798;50
953978522;62.1
918432717;46.2
22785845;78.7
726917114;73.7
3173294336;62
47882327;68.6
36112147;74
6834831817;81.3
954327931;64.4
2489955836;75
835281711;61.6
91125385;67.3
1354669872;75.8
1215482994;72.2
576139536;69.5
3922358187;81.1
894927988;65.1
4267261323;75.6
1646248556;74.2
4324876427;69.6
3935183343;73.8
482885491;79.3
112631852;75.3
6158198192;61.8
16586452;73
3527522843;82.6
6138817457;79.5
164721665;73.2
933341687;76
6322346778;81.7
1229791535;72
2312192926;72.5
147586896;59.8
16531844;69.7
47511122;55.3
114587985;52.6
29771153;75.6
14441589;78
83476942;67.8
42764743;55.9
541651484;68.6
41858631;55.5
2583529;73.8
1592572182;73
397226475;73.3
134431871;72.5
49456775;56.4
571447937;56.9
369835796;57.5
42251968;60
3112285712;72.3
2494353552;71.4
839181117;56.8
2393367265;73
445445268;85
2384131792;78.3
118166373;65.2
467421961;73.5
3267236717;76
52862285;75.4
444383131;79.5
3129224922;65.9
81683884;49.4
72759313;66
1357632211;65
481694976;55
1779995;54.8
7313557962;73.3
97949246;73.2
33483817;71.2
1672685433;67.5
2695366223;74.4
19686718;59.9
138426549;73.5
5957145693;74.2
11156952;61.4
612539984;54.5
3851437869;73
3778184171;74.6
58487451;78.4
158513226;74.9
